"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
24407,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,1072,15.005931376681,"SE",1.23565263373682,4,"leafN",6,1.87,47.77,TRUE,NA,3.22,0.26
24408,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2955,17.7913432662155,"SE",1.19711499152301,4,"leafN",6,1.87,47.77,TRUE,NA,2.71,0.18
24409,104,450,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2955,14.7116725006058,"SE",1.81193511749684,4,"leafN",6,7.67,44.7,TRUE,NA,3.31,0.39
37701,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,23.0933592542083,"SE",1.41112542707825,9,"leafN",6,NA,NA,TRUE,NA,2.0862,0.126133333333333
37722,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,1072,15.6827935539779,"SE",1.64578990121178,9,"leafN",8,NA,NA,TRUE,NA,3.0933,0.314366666666667
37743,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,1072,12.9216952011881,"SE",0.349597537951845,9,"leafN",9,NA,NA,TRUE,NA,3.7174,0.1004
38814,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,1073,17.3287478877973,"SE",0.0625374204169183,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.77,0.01
38815,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,1073,21.42940161455,"SE",1.44739493502242,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.25,0.15
38820,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,2579,20.7889787463475,"SE",0.450413755992991,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.31,0.05
38821,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,2579,18.858753512328,"SE",0.817691428467686,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.55,0.11
38826,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,1069,17.8686322548476,"SE",0.666710921769573,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.69,0.1
38827,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,1069,21.2993182837249,"SE",1.1400582047333,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.26,0.12
44082,563,863,1675,"observational",NA,"00:00:00",NA,2860,11.6983535362722,"SE",0.212739544378257,3,"leafN",NA,175.618511,-40.348268,TRUE,TRUE,4.1045,0.0746
44733,603,796,1779,"observational",NA,"00:00:00",NA,1080,20.7270672514808,"SE",0.883343866091613,5,"leafN",NA,-71.288077,44.06464,TRUE,FALSE,2.32,0.0983869910099907
24344,97,441,129,"Unfertilized",1999-10-15 00:00:00,"00:00:00",NA,2860,14.6341463414634,"",NA,NA,"leafN",10,-95.78,47.9,TRUE,NA,3.28,NA
24345,97,441,129,"Unfertilized",2000-10-15 00:00:00,"00:00:00",NA,2860,18.9723320158103,"",NA,NA,"leafN",10,-95.78,47.9,TRUE,NA,2.53,NA
24346,97,441,129,"Unfertilized",2001-10-15 00:00:00,"00:00:00",NA,2860,18.9723320158103,"",NA,NA,"leafN",10,-95.78,47.9,TRUE,NA,2.53,NA
24347,97,441,130,"Fertilization_N50",1999-10-15 00:00:00,"00:00:00",NA,2860,12.972972972973,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,3.7,NA
24348,97,441,130,"Fertilization_N50",2000-10-15 00:00:00,"00:00:00",NA,2860,15.1419558359621,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,3.17,NA
24349,97,441,130,"Fertilization_N50",2001-10-15 00:00:00,"00:00:00",NA,2860,17.0212765957447,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,2.82,NA
24350,97,441,131,"Fertilization_N50",1999-10-15 00:00:00,"00:00:00",NA,2860,12.9380053908356,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,3.71,NA
24342,76,407,57,"Observational",1972-06-15 00:00:00,"00:00:00",NA,2864,21.2389380530973,"",NA,NA,"leafN",6,-76.37,41.29,TRUE,NA,2.26,NA
24343,76,407,57,"Observational",1975-06-15 00:00:00,"00:00:00",NA,2864,26.9662921348315,"",NA,NA,"leafN",6,-76.37,41.29,TRUE,NA,1.78,NA
24351,97,441,131,"Fertilization_N50",2000-10-15 00:00:00,"00:00:00",NA,2860,15.0470219435737,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,3.19,NA
24352,97,441,131,"Fertilization_N50",2001-10-15 00:00:00,"00:00:00",NA,2860,17.4545454545455,"",NA,NA,"leafN",10,-95.78,47.9,FALSE,NA,2.75,NA
24354,102,445,88,"Observational",1995-06-15 00:00:00,"00:00:00",251,2862,25.9459459459459,"",NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.85,NA
24356,102,445,88,"Observational",1995-06-15 00:00:00,"00:00:00",252,2877,24.6153846153846,"",NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.95,NA
