plant_id,pi_camera_id,image_path before harvest,image_path after harvest,total.shoot.fw.mg,shoot.pixel,height.pixel,solidity,genotype,specie,location,temperature_celsius,seeds_in_germination,treatment_started,biomas_harvested,height_base_to_tip_of_longest_culm_cm,height_base_to_top_collar_of_longest_culm_cm,panicle FW(g),stemFW(mg),leaf FW(mg),panicle DW(mg),stemDW(mg),leaf DW(mg),roots DW (mg)
158-083,158-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-002/10.9.1.86_pos-158-003-002_2019-02-12-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-002/10.9.1.86_pos-158-003-002_2019-02-12-10-05.jpg,3741.12,95476,1490,0.07347467103,ME034V-1,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,2/12/2019,35,22.5,1.12,2710,1030,556.7,532.8,198.2,111.1
158-084,158-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-002/10.9.1.86_pos-158-003-002_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-002/10.9.1.86_pos-158-003-002_2019-02-19-10-05.jpg,3994.0542,88798,1144,0.07534950697,ME034V-1,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,2/19/2019,37.3,23.5,0.6542,2865.5,1127.9,347,676,318.1,222
158-091,158-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-12-11-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-12-12-05.jpg,5823.16,NA,NA,NA,Les5,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,2/12/2019,45.5,22,3.16,4200,1620,1859.1,809,310.1,26.7
158-092,158-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-01-22-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-01-22-11-05.jpg,1520.17,48865,759,0.2927739682,Les5,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,1/22/2019,30.5,18.7,0.17,850,670,31.4,87.4,78.2,26.6
158-095,158-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-19-13-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-19-14-05.jpg,2219.15,56498,803,0.1035827137,Les5,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,2/19/2019,27,15.5,1.15,1480,738,813.4,368,179.1,132.2
158-096,158-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-05-11-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-003-004/10.9.1.84_pos-158-003-004_2019-02-05-12-05.jpg,2181,45653,877,0.0887215415,Les5,setaria viridis,GCH158-top-tier,31,1/3/2019,1/11/2019,2/5/2019,34.2,22.8,1,1600,580,488.7,264.3,119,60.5
158-097,158-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-19-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-19-10-05.jpg,3760.72,NA,NA,NA,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/19/2019,52.8,26,0.72,2650,1110,418.3,595.9,247.7,146.6
158-098,158-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-05-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-05-11-05.jpg,3631.1,NA,NA,NA,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/5/2019,44.5,28.5,1.1,2610,1020,406.9,412.1,170.6,88.6
158-100,158-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-12-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-02-12-10-05.jpg,4461.22,NA,NA,NA,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/12/2019,41,23.2,1.22,3290,1170,571.2,572.6,206.3,70.9
158-101,158-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-01-15-17-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-001/10.9.1.83_pos-158-002-001_2019-01-15-18-05.jpg,185,9342,436,0.2650137585,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/15/2019,15,5.8,0,66.3,118.7,0,6.4,17,7.4
